gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,high school,standard,completed,54,53,48
female,group C,some college,free/reduced,none,23,41,34
male,group E,bachelor's degree,standard,completed,100,96,97
male,group C,bachelor's degree,free/reduced,none,60,66,60
female,group D,some high school,standard,none,62,55,59
male,group D,high school,standard,none,57,47,54
female,group C,some high school,standard,completed,77,90,82
female,group B,high school,free/reduced,completed,70,79,80
male,group B,some high school,standard,completed,93,83,89
female,group E,some college,standard,none,88,86,92
male,group E,associate's degree,standard,none,52,43,36
female,group E,associate's degree,standard,none,89,95,93
male,group C,master's degree,free/reduced,completed,67,73,76
female,group D,master's degree,standard,none,74,78,85
male,group B,high school,free/reduced,none,31,22,13
male,group D,some high school,standard,none,62,67,65
female,group E,some high school,free/reduced,none,71,79,76
male,group B,high school,standard,completed,73,68,72
male,group B,associate's degree,free/reduced,completed,69,70,62
male,group D,bachelor's degree,free/reduced,completed,58,70,77
male,group C,some high school,standard,none,74,64,62
male,group A,some high school,standard,none,51,33,36
female,group D,some college,free/reduced,none,59,70,62
female,group C,high school,standard,none,60,67,73
female,group C,some college,free/reduced,completed,44,74,69
male,group C,bachelor's degree,standard,completed,98,86,92
male,group B,some high school,standard,completed,86,84,80
male,group C,high school,standard,none,65,59,48
female,group C,associate's degree,free/reduced,none,66,79,73
female,group E,associate's degree,standard,none,84,95,93
female,group B,high school,standard,completed,69,83,78
female,group D,associate's degree,standard,completed,69,74,80
female,group C,associate's degree,standard,none,63,67,67
male,group D,high school,standard,none,65,56,47
male,group D,some college,standard,none,80,63,70
male,group B,some college,standard,none,52,54,50
female,group A,some college,standard,completed,76,85,89
female,group B,some high school,standard,completed,61,69,70
female,group B,high school,free/reduced,none,9,22,21
male,group C,some college,free/reduced,completed,51,48,52
female,group C,associate's degree,standard,completed,57,77,82
female,group D,some college,standard,completed,73,76,79
female,group D,high school,standard,completed,54,59,63
female,group C,associate's degree,standard,completed,68,85,79
male,group D,some college,standard,completed,60,59,64
female,group C,some high school,free/reduced,none,41,51,49
female,group B,high school,standard,completed,76,78,87
male,group B,associate's degree,standard,none,88,85,74
male,group E,some high school,standard,none,34,26,24
male,group A,some high school,free/reduced,none,41,36,33
female,group C,associate's degree,standard,completed,86,87,87
female,group E,high school,free/reduced,completed,67,78,77
male,group A,some college,free/reduced,none,76,79,75
male,group E,some college,standard,none,88,83,74
male,group D,bachelor's degree,standard,none,77,75,71
female,group A,high school,standard,none,60,69,64
male,group B,associate's degree,free/reduced,completed,81,80,73
male,group C,high school,standard,completed,77,67,66
male,group D,some college,standard,completed,98,99,100
male,group C,some college,free/reduced,none,60,60,56
male,group B,high school,standard,completed,74,70,66
female,group C,some college,standard,none,60,68,73
male,group D,master's degree,standard,none,91,82,79
male,group A,associate's degree,standard,none,66,63,64
female,group A,some high school,free/reduced,none,44,45,46
male,group B,some college,standard,completed,63,66,68
female,group B,some high school,free/reduced,none,48,60,52
male,group E,some high school,standard,none,80,66,63
female,group E,associate's degree,standard,none,55,50,55
male,group D,high school,standard,none,68,72,71
female,group C,some college,standard,completed,70,87,90
female,group B,bachelor's degree,standard,none,68,87,84
female,group A,some high school,free/reduced,none,46,62,56
male,group A,some high school,standard,completed,44,45,51
female,group C,associate's degree,standard,none,56,62,56
male,group A,bachelor's degree,standard,none,64,61,57
male,group E,associate's degree,standard,completed,65,62,63
male,group C,bachelor's degree,standard,none,82,76,70
female,group D,some high school,standard,completed,99,100,98
male,group B,some college,standard,none,48,42,39
male,group C,some high school,standard,completed,63,62,55
female,group D,associate's degree,standard,completed,71,74,80
female,group B,high school,standard,none,40,51,53
female,group C,bachelor's degree,free/reduced,completed,45,53,58
female,group C,some college,standard,completed,85,91,94
female,group C,some college,standard,none,72,69,74
female,group C,master's degree,standard,none,78,76,72
female,group B,associate's degree,standard,none,74,83,80
female,group C,master's degree,standard,completed,55,68,66
male,group C,some high school,free/reduced,none,67,71,69
male,group A,some college,free/reduced,completed,48,45,52
male,group D,some college,standard,none,62,61,61
male,group D,some high school,standard,none,68,67,59
male,group B,high school,standard,none,81,57,63
female,group D,some high school,standard,none,59,54,63
male,group D,high school,standard,none,60,52,40
female,group B,high school,standard,none,41,54,51
male,group E,some high school,free/reduced,completed,74,69,57
male,group C,some high school,free/reduced,none,67,72,65
male,group D,bachelor's degree,standard,none,90,80,87
male,group D,high school,free/reduced,none,75,70,70
male,group E,high school,free/reduced,completed,84,80,74
male,group A,high school,free/reduced,none,45,47,48
female,group D,master's degree,standard,none,90,100,100
male,group C,high school,standard,completed,75,75,64
female,group D,associate's degree,free/reduced,none,40,60,59
male,group C,some college,standard,completed,78,79,80
male,group D,high school,free/reduced,none,73,73,66
female,group B,associate's degree,standard,completed,61,87,88
male,group D,high school,standard,none,77,70,65
male,group A,high school,free/reduced,completed,74,70,65
female,group D,some college,free/reduced,none,63,82,75
male,group D,associate's degree,free/reduced,completed,59,65,73
male,group D,some high school,standard,none,62,66,62
female,group B,high school,standard,none,68,80,76
male,group A,some high school,standard,completed,48,40,42
female,group E,some high school,free/reduced,none,34,34,39
female,group B,high school,standard,completed,77,83,89
female,group D,some college,free/reduced,completed,61,81,72
male,group B,high school,free/reduced,none,30,27,16
female,group D,associate's degree,free/reduced,none,56,79,80
female,group D,some college,free/reduced,none,62,66,72
male,group D,some high school,standard,none,79,70,68
male,group D,associate's degree,free/reduced,none,90,82,74
male,group B,some high school,standard,completed,84,86,77
female,group C,associate's degree,standard,none,49,58,58
female,group C,some high school,standard,none,68,72,76
male,group D,some college,standard,none,70,50,49
female,group E,some college,standard,none,65,72,76
female,group D,some college,free/reduced,completed,55,58,66
male,group B,bachelor's degree,standard,none,63,61,57
male,group B,some high school,standard,completed,60,65,67
female,group E,high school,standard,completed,59,66,73
male,group B,some college,standard,completed,87,83,89
female,group B,some high school,standard,completed,58,69,71
female,group D,some college,free/reduced,completed,52,56,65
male,group D,high school,standard,none,70,79,71
male,group E,bachelor's degree,standard,none,67,68,63
female,group B,bachelor's degree,standard,none,65,73,70
male,group C,high school,standard,completed,54,50,47
male,group B,associate's degree,free/reduced,completed,60,56,52
female,group C,some high school,standard,none,66,76,76
female,group D,associate's degree,free/reduced,none,52,77,76
female,group E,associate's degree,free/reduced,none,51,57,57
female,group C,high school,free/reduced,completed,71,81,85
male,group C,some high school,free/reduced,completed,49,57,50
female,group C,some college,standard,none,82,91,93
male,group C,associate's degree,free/reduced,none,71,67,66
female,group C,some college,standard,none,58,71,69
male,group D,associate's degree,standard,none,80,73,76
male,group A,bachelor's degree,standard,completed,86,83,90
male,group C,bachelor's degree,standard,completed,91,91,88
male,group C,some college,standard,completed,95,87,91
female,group D,some high school,standard,none,55,68,57
female,group D,some high school,standard,none,49,61,55
male,group A,high school,free/reduced,none,49,42,39
female,group C,some high school,standard,completed,68,70,78
male,group C,some high school,standard,none,73,71,66
male,group B,some high school,standard,completed,63,59,56
female,group C,associate's degree,standard,none,41,62,54
male,group B,bachelor's degree,standard,none,59,54,52
male,group C,master's degree,standard,none,71,66,68
male,group D,some college,standard,none,71,58,56
female,group D,high school,standard,none,78,83,82
male,group B,high school,standard,none,73,63,61
male,group B,associate's degree,standard,completed,84,83,76
female,group C,some college,free/reduced,completed,62,73,69
female,group C,bachelor's degree,standard,none,68,71,74
male,group E,some high school,standard,completed,87,86,75
female,group B,associate's degree,standard,completed,91,86,91
male,group D,associate's degree,standard,none,59,50,47
female,group C,associate's degree,standard,completed,75,75,83
male,group D,associate's degree,standard,none,78,80,74
female,group C,high school,standard,none,53,59,60
male,group D,some high school,free/reduced,none,68,50,54
female,group B,associate's degree,standard,completed,95,87,94
female,group C,bachelor's degree,standard,completed,76,93,99
male,group C,associate's degree,standard,none,82,78,78
male,group D,bachelor's degree,free/reduced,none,73,68,65
male,group C,master's degree,standard,completed,92,82,82
female,group C,some high school,standard,none,48,62,58
male,group D,some high school,standard,completed,76,69,66
male,group A,master's degree,free/reduced,none,74,76,71
female,group C,associate's degree,standard,none,91,96,91
female,group D,high school,free/reduced,completed,53,61,56
male,group E,some high school,standard,none,34,23,22
male,group E,associate's degree,free/reduced,completed,44,42,45
female,group E,associate's degree,free/reduced,completed,84,88,88
male,group A,some college,free/reduced,none,28,24,17
male,group E,high school,standard,none,72,64,58
female,group C,bachelor's degree,free/reduced,none,64,76,79
male,group D,some college,standard,none,41,55,53
female,group E,associate's degree,standard,none,79,95,90
male,group D,associate's degree,standard,completed,81,71,78
female,group C,associate's degree,standard,completed,96,98,100
female,group D,high school,free/reduced,none,46,61,50
female,group D,high school,standard,none,66,75,70
female,group C,bachelor's degree,standard,none,67,76,82
female,group C,bachelor's degree,free/reduced,completed,52,72,75
female,group B,bachelor's degree,standard,completed,65,82,79
female,group C,bachelor's degree,standard,none,67,78,79
male,group E,associate's degree,standard,completed,64,59,51
male,group E,associate's degree,standard,completed,98,84,83
male,group B,associate's degree,standard,none,79,70,74
male,group B,bachelor's degree,free/reduced,none,46,51,48
male,group D,some college,free/reduced,completed,70,60,61
male,group E,associate's degree,standard,none,90,70,77
male,group E,associate's degree,standard,completed,83,83,76
female,group C,some high school,standard,completed,56,53,67
female,group C,bachelor's degree,standard,none,68,69,75
male,group B,some high school,standard,completed,63,55,59
female,group C,some high school,standard,none,65,73,69
female,group C,associate's degree,standard,none,64,80,77
male,group B,some college,standard,none,67,65,58
male,group C,bachelor's degree,standard,none,67,67,63
male,group C,master's degree,standard,none,66,58,61
male,group C,some high school,free/reduced,completed,49,57,54
female,group D,some college,free/reduced,none,58,66,68
male,group D,some college,standard,none,76,71,72
female,group E,associate's degree,standard,none,99,100,100
male,group B,associate's degree,standard,completed,79,84,84
male,group C,some college,free/reduced,none,62,59,47
female,group D,some high school,standard,none,52,59,52
female,group B,high school,standard,completed,76,82,92
female,group D,master's degree,standard,completed,78,82,93
female,group A,some high school,standard,none,44,66,68
male,group A,some high school,standard,completed,49,41,47
male,group C,associate's degree,standard,none,49,53,43
male,group E,some college,standard,completed,98,87,78
male,group C,some high school,free/reduced,none,68,70,68
female,group B,bachelor's degree,standard,none,54,64,69
male,group D,some college,standard,none,70,70,76
male,group C,high school,standard,completed,51,53,47
female,group C,bachelor's degree,standard,none,65,78,83
female,group C,associate's degree,standard,none,64,66,68
female,group D,some college,standard,completed,84,83,94
female,group E,high school,standard,none,73,79,70
male,group D,high school,free/reduced,completed,66,64,67
female,group C,some college,standard,none,58,49,52
male,group B,some college,standard,none,48,45,40
male,group D,some high school,standard,none,72,68,62
female,group D,some college,standard,completed,71,76,78
female,group A,some high school,standard,completed,86,95,91
male,group D,some high school,standard,completed,92,88,82
male,group B,bachelor's degree,free/reduced,completed,88,87,86
female,group C,bachelor's degree,free/reduced,none,45,62,61
female,group D,some college,free/reduced,none,65,68,71
female,group B,some college,free/reduced,completed,55,67,71
male,group C,some college,standard,none,61,61,60
male,group E,associate's degree,standard,completed,66,62,62
male,group D,some high school,standard,none,78,72,72
male,group D,high school,standard,none,54,51,53
female,group E,master's degree,free/reduced,none,59,72,62
male,group D,some college,standard,none,44,55,57
female,group D,some high school,free/reduced,completed,41,64,65
male,group B,associate's degree,standard,none,47,42,43
female,group A,some high school,standard,completed,85,91,97
female,group D,associate's degree,free/reduced,completed,57,72,76
male,group B,some college,free/reduced,none,51,52,42
female,group A,some high school,standard,none,47,70,67
female,group B,some college,free/reduced,none,59,67,67
female,group B,high school,standard,none,57,64,64
female,group C,some college,free/reduced,completed,40,64,69
male,group B,associate's degree,standard,completed,93,85,91
female,group B,associate's degree,standard,none,75,86,74
male,group D,some college,free/reduced,none,60,62,59
female,group C,high school,standard,none,26,27,29
female,group C,high school,standard,none,72,81,72
female,group B,some high school,standard,none,59,67,64
male,group E,high school,standard,none,84,73,69
female,group D,some high school,standard,none,81,93,81
female,group E,some college,standard,none,73,69,70
female,group E,associate's degree,standard,none,85,93,90
male,group C,some college,free/reduced,none,77,81,73
female,group C,some college,free/reduced,none,23,38,32
male,group D,associate's degree,standard,none,80,67,73
female,group C,some high school,standard,none,67,71,75
male,group D,high school,free/reduced,none,46,51,48
female,group D,some college,standard,completed,84,86,99
female,group B,associate's degree,standard,none,83,79,79
male,group B,associate's degree,standard,completed,80,81,82
female,group B,some high school,free/reduced,completed,59,78,76
male,group C,master's degree,standard,none,72,68,70
female,group D,associate's degree,free/reduced,completed,74,89,100
male,group C,associate's degree,free/reduced,completed,66,74,66
female,group D,some high school,standard,none,56,73,81
male,group D,high school,free/reduced,none,65,75,67
male,group C,high school,standard,completed,81,83,81
male,group A,some college,standard,completed,80,71,71
female,group C,some college,standard,completed,74,82,84
female,group C,bachelor's degree,free/reduced,none,42,61,63
female,group C,bachelor's degree,standard,completed,57,85,73
female,group B,high school,standard,completed,69,71,77
male,group D,associate's degree,standard,completed,83,71,78
male,group B,associate's degree,standard,completed,79,83,82
male,group C,bachelor's degree,free/reduced,completed,70,76,73
female,group C,associate's degree,free/reduced,completed,73,65,69
male,group C,some high school,standard,none,75,71,61
male,group A,some high school,standard,completed,46,41,43
male,group C,some high school,standard,none,72,69,59
male,group B,high school,free/reduced,none,61,46,47
male,group C,high school,standard,none,53,55,51
female,group C,bachelor's degree,free/reduced,completed,73,88,89
female,group C,some college,standard,none,55,48,52
female,group B,associate's degree,standard,none,59,65,62
female,group C,some high school,standard,none,66,75,75
male,group D,associate's degree,standard,completed,69,70,64
male,group A,bachelor's degree,standard,completed,78,76,80
female,group C,high school,standard,none,70,81,74
male,group D,some college,standard,completed,63,54,62
female,group E,some college,free/reduced,none,74,78,70
male,group E,associate's degree,standard,completed,95,81,90
male,group B,some high school,standard,none,67,67,62
female,group D,associate's degree,standard,none,64,74,77
female,group C,some college,standard,none,61,70,71
female,group B,some high school,standard,none,64,64,66
female,group C,some high school,free/reduced,completed,70,83,86
female,group C,associate's degree,standard,none,93,95,95
female,group A,some high school,standard,none,74,83,76
female,group D,some college,free/reduced,none,53,64,61
female,group B,master's degree,free/reduced,completed,59,75,77
female,group D,high school,free/reduced,completed,52,53,57
male,group B,bachelor's degree,free/reduced,none,54,62,56
male,group C,associate's degree,standard,completed,48,59,54
female,group B,some high school,free/reduced,none,71,82,78
male,group E,high school,standard,none,73,60,60
male,group D,bachelor's degree,standard,completed,68,72,76
female,group C,associate's degree,standard,completed,63,76,81
male,group E,some high school,standard,completed,86,88,75
female,group E,high school,free/reduced,none,41,46,39
male,group A,some college,free/reduced,none,79,82,74
female,group D,high school,standard,completed,59,57,64
female,group C,some high school,free/reduced,completed,66,76,73
male,group B,some college,standard,none,67,65,59
male,group D,associate's degree,standard,none,79,69,77
male,group E,some high school,standard,completed,70,66,61
female,group C,some college,standard,none,56,68,62
female,group B,associate's degree,free/reduced,none,41,61,58
female,group C,high school,standard,none,80,83,81
male,group C,associate's degree,standard,none,76,69,72
female,group C,associate's degree,free/reduced,none,59,77,76
male,group B,associate's degree,free/reduced,completed,86,79,68
female,group C,some college,standard,none,73,79,72
male,group A,bachelor's degree,standard,completed,82,78,81
female,group D,some high school,free/reduced,none,48,62,60
male,group C,associate's degree,standard,completed,61,55,57
female,group C,some college,standard,completed,68,83,81
male,group A,associate's degree,standard,completed,95,94,86
male,group B,some college,free/reduced,none,54,54,42
female,group C,some college,standard,none,60,57,65
female,group E,bachelor's degree,standard,none,64,74,71
male,group D,some high school,standard,none,60,61,53
male,group A,high school,standard,none,72,76,66
male,group E,bachelor's degree,standard,completed,98,98,100
male,group C,high school,free/reduced,none,26,35,35
female,group C,high school,standard,completed,56,71,78
female,group E,some college,standard,none,63,67,59
female,group B,associate's degree,standard,none,69,83,80
female,group D,high school,standard,none,68,72,72
female,group E,associate's degree,standard,none,56,65,68
male,group C,bachelor's degree,standard,none,67,62,62
male,group C,associate's degree,free/reduced,completed,63,73,67
male,group D,associate's degree,standard,completed,66,52,64
male,group A,some high school,standard,none,51,28,35
female,group B,associate's degree,free/reduced,none,54,71,71
female,group D,some college,free/reduced,none,54,67,62
male,group E,some college,standard,none,68,56,61
male,group D,some college,standard,completed,75,63,60
female,group E,high school,free/reduced,completed,67,74,79
female,group D,some high school,standard,completed,64,80,82
female,group C,some high school,free/reduced,completed,50,60,61
female,group E,bachelor's degree,standard,completed,98,100,99
male,group A,high school,free/reduced,none,51,47,44
male,group A,some college,free/reduced,none,55,60,58
male,group C,associate's degree,free/reduced,none,76,69,61
female,group E,associate's degree,standard,none,87,96,97
female,group C,associate's degree,standard,none,90,84,88
female,group D,associate's degree,standard,none,62,74,72
male,group C,associate's degree,free/reduced,completed,56,49,54
male,group B,some college,free/reduced,none,54,56,50
male,group B,high school,standard,none,60,54,53
male,group E,associate's degree,standard,completed,65,57,60
female,group A,master's degree,standard,none,55,51,58
male,group D,some college,standard,none,68,58,61
male,group C,bachelor's degree,free/reduced,none,58,67,61
female,group D,some high school,standard,completed,81,95,90
female,group E,some college,standard,none,85,87,94
female,group E,some college,standard,none,86,85,91
female,group C,high school,free/reduced,none,41,60,59
male,group C,high school,free/reduced,none,65,62,61
female,group C,some high school,free/reduced,completed,28,39,48
female,group B,some high school,standard,completed,62,81,79
female,group D,some college,free/reduced,completed,51,59,70
male,group C,some college,standard,none,78,80,75
male,group D,some college,standard,none,76,65,67
female,group C,associate's degree,standard,completed,67,84,87
female,group E,associate's degree,standard,none,47,50,58
male,group A,some college,standard,none,55,40,43
female,group D,bachelor's degree,standard,completed,67,73,83
female,group D,associate's degree,standard,completed,75,73,80
female,group C,associate's degree,standard,none,64,69,69
female,group E,master's degree,free/reduced,none,44,60,58
female,group C,associate's degree,standard,none,62,73,76
female,group B,high school,free/reduced,none,64,73,68
female,group B,high school,standard,completed,70,80,76
female,group C,high school,free/reduced,none,55,72,66
female,group D,some college,free/reduced,none,64,65,67
female,group D,some college,free/reduced,none,77,86,84
male,group A,bachelor's degree,standard,none,80,69,70
male,group D,some high school,standard,none,85,81,75
female,group E,associate's degree,standard,completed,96,91,91
male,group C,associate's degree,standard,none,91,80,82
male,group C,master's degree,standard,none,78,71,70
male,group B,some college,free/reduced,completed,59,62,68
female,group C,associate's degree,standard,completed,72,81,91
female,group E,associate's degree,standard,completed,96,88,89
female,group C,some college,standard,none,61,68,71
male,group D,high school,free/reduced,completed,69,67,67
female,group C,some high school,free/reduced,none,47,56,50
female,group B,high school,free/reduced,completed,22,47,36
female,group B,bachelor's degree,standard,none,54,61,67
male,group D,some high school,free/reduced,completed,56,57,60
male,group D,some college,standard,none,47,55,53
male,group A,high school,standard,none,72,70,66
male,group A,some high school,standard,none,52,51,49
female,group B,associate's degree,standard,none,53,62,66
female,group C,some college,standard,none,83,88,92
male,group B,associate's degree,free/reduced,none,58,61,59
female,group C,associate's degree,standard,completed,67,81,79
female,group D,high school,standard,none,66,76,76
female,group C,bachelor's degree,free/reduced,completed,43,48,50
female,group D,some college,standard,completed,69,80,77
female,group C,some high school,standard,none,45,50,56
male,group C,bachelor's degree,free/reduced,none,54,59,55
female,group C,high school,free/reduced,none,32,62,54
female,group B,some high school,standard,none,64,63,65
male,group E,some college,standard,none,60,48,41
female,group C,high school,standard,completed,63,63,78
male,group B,bachelor's degree,free/reduced,none,71,56,54
male,group C,high school,free/reduced,none,63,58,53
male,group E,associate's degree,standard,completed,83,81,76
female,group C,associate's degree,standard,completed,55,72,82
female,group B,some high school,free/reduced,completed,62,79,78
male,group A,associate's degree,standard,completed,95,89,87
male,group D,bachelor's degree,standard,none,51,48,48
male,group D,some college,standard,none,42,54,54
female,group C,high school,standard,none,73,75,74
male,group D,some college,free/reduced,none,65,55,62
female,group C,bachelor's degree,standard,none,62,74,77
male,group D,master's degree,standard,none,73,72,75
male,group C,some college,free/reduced,completed,68,76,69
male,group D,some college,free/reduced,none,60,61,64
male,group C,master's degree,standard,none,80,72,70
male,group C,some college,free/reduced,completed,69,76,66
male,group D,high school,standard,none,56,52,53
female,group D,some college,free/reduced,none,65,84,77
male,group E,associate's degree,standard,none,86,74,79
female,group A,some high school,standard,completed,88,91,92
female,group B,high school,standard,none,78,73,71
female,group D,some high school,free/reduced,none,48,67,57
female,group C,some college,standard,completed,83,84,94
male,group E,some college,standard,none,77,71,74
female,group D,associate's degree,standard,completed,59,80,83
female,group B,associate's degree,standard,none,57,60,62
male,group B,high school,standard,none,60,57,47
male,group D,some college,standard,completed,100,98,98
male,group D,bachelor's degree,standard,none,78,74,74
female,group D,some college,standard,none,77,92,83
female,group C,some college,standard,none,62,73,71
male,group C,high school,free/reduced,none,58,61,56
female,group C,some college,standard,completed,88,92,92
male,group B,some college,standard,completed,63,68,70
female,group B,some college,free/reduced,none,61,70,66
female,group B,associate's degree,standard,completed,59,72,69
female,group D,some college,free/reduced,none,52,66,64
female,group A,some college,standard,completed,70,79,86
male,group C,some college,standard,none,75,73,59
female,group E,some college,free/reduced,completed,76,87,88
male,group C,associate's degree,free/reduced,completed,58,53,56
male,group E,bachelor's degree,standard,completed,68,66,71
male,group E,associate's degree,free/reduced,none,43,43,41
male,group B,some college,standard,completed,92,96,91
female,group A,some high school,free/reduced,none,59,73,68
female,group D,master's degree,free/reduced,completed,45,60,70
female,group D,high school,standard,none,47,68,60
male,group D,some college,standard,completed,86,80,85
female,group B,some college,standard,none,82,86,88
male,group C,associate's degree,standard,completed,97,84,89
female,group E,bachelor's degree,standard,completed,77,80,84
female,group A,some college,standard,none,69,81,81
female,group C,high school,standard,none,76,86,85
female,group C,some college,standard,completed,87,93,97
male,group D,some college,standard,completed,56,55,57
male,group C,associate's degree,free/reduced,completed,78,83,84
male,group C,some college,standard,completed,81,78,79
female,group C,associate's degree,standard,none,46,57,61
male,group B,bachelor's degree,standard,none,66,58,56
male,group C,bachelor's degree,standard,none,57,56,47
female,group E,master's degree,free/reduced,none,79,89,88
female,group B,high school,standard,none,40,53,50
male,group A,some high school,standard,completed,63,69,65
male,group D,high school,standard,none,74,62,66
female,group C,associate's degree,standard,completed,69,86,82
male,group B,high school,standard,none,79,61,64
male,group C,some high school,free/reduced,none,69,65,58
male,group A,associate's degree,standard,none,68,58,52
female,group A,some college,standard,none,53,67,68
male,group C,associate's degree,standard,completed,50,59,57
male,group E,some high school,standard,none,81,66,60
female,group C,some college,free/reduced,none,27,40,35
male,group C,master's degree,free/reduced,none,56,62,51
female,group C,some college,free/reduced,none,76,86,86
male,group B,high school,standard,none,85,78,80
female,group B,associate's degree,free/reduced,none,54,76,71
female,group D,master's degree,free/reduced,completed,44,60,70
male,group D,some college,standard,none,79,75,63
male,group D,some high school,free/reduced,none,59,43,43
male,group D,some high school,standard,none,56,47,43
female,group C,associate's degree,standard,none,65,70,80
female,group D,bachelor's degree,free/reduced,none,62,76,77
female,group C,bachelor's degree,standard,none,80,89,94
male,group E,associate's degree,standard,completed,64,54,52
female,group D,bachelor's degree,free/reduced,none,75,89,91
male,group D,associate's degree,standard,none,70,67,60
female,group C,associate's degree,standard,none,61,78,72
male,group A,associate's degree,standard,none,65,54,53
female,group B,high school,standard,none,51,51,52
female,group E,associate's degree,standard,none,67,66,68
female,group A,high school,free/reduced,completed,52,49,63
male,group D,associate's degree,free/reduced,completed,63,67,74
female,group C,some college,free/reduced,none,62,60,62
male,group E,associate's degree,free/reduced,completed,78,74,73
female,group A,associate's degree,free/reduced,none,42,48,47
female,group C,associate's degree,standard,none,65,80,75
male,group C,high school,free/reduced,completed,54,53,53
female,group B,master's degree,free/reduced,completed,56,78,79
male,group B,associate's degree,standard,none,52,43,49
female,group B,some college,standard,none,72,73,78
male,group C,high school,standard,none,68,54,55
female,group D,associate's degree,free/reduced,completed,75,92,99
female,group C,associate's degree,standard,completed,60,71,74
female,group C,some college,standard,none,68,78,72
female,group C,some college,standard,completed,72,70,80
male,group B,associate's degree,free/reduced,completed,57,57,53
female,group C,associate's degree,standard,completed,71,67,71
male,group E,some high school,standard,completed,77,76,75
female,group D,some college,free/reduced,none,54,64,63
female,group C,some college,standard,none,64,73,75
female,group C,bachelor's degree,standard,none,83,92,88
female,group C,bachelor's degree,free/reduced,completed,47,49,58
male,group D,some high school,free/reduced,none,58,51,53
female,group D,some college,free/reduced,none,80,88,89
male,group C,some high school,free/reduced,completed,46,50,50
female,group B,some high school,free/reduced,none,22,38,26
female,group C,bachelor's degree,standard,none,82,90,87
female,group B,high school,free/reduced,none,60,68,69
female,group D,high school,free/reduced,none,52,60,49
male,group A,high school,standard,none,69,69,67
female,group C,high school,standard,none,75,76,76
female,group B,associate's degree,standard,none,50,50,49
female,group D,some college,standard,completed,82,96,93
female,group C,some college,standard,completed,72,89,89
female,group E,some high school,free/reduced,none,75,79,77
female,group B,high school,standard,none,42,54,53
female,group C,high school,standard,none,61,72,70
male,group E,some college,standard,none,76,68,68
female,group C,high school,free/reduced,none,48,69,64
male,group B,some high school,standard,none,89,81,77
male,group B,high school,standard,completed,74,70,65
male,group C,some high school,standard,none,73,67,63
female,group D,some high school,standard,completed,67,76,79
male,group C,some college,standard,none,73,72,63
male,group B,high school,standard,none,58,53,54
male,group B,associate's degree,free/reduced,none,64,57,57
male,group C,some high school,standard,none,74,73,60
male,group C,bachelor's degree,standard,completed,62,63,65
female,group C,bachelor's degree,free/reduced,none,46,64,62
male,group C,high school,free/reduced,none,56,71,59
male,group C,associate's degree,free/reduced,completed,66,67,66
female,group D,bachelor's degree,free/reduced,completed,95,99,100
male,group B,high school,standard,none,58,68,65
female,group B,associate's degree,standard,none,57,70,62
male,group D,some college,free/reduced,none,80,62,65
female,group B,high school,standard,none,64,86,72
female,group C,some high school,free/reduced,completed,48,63,58
female,group D,some college,standard,none,65,69,72
male,group E,associate's degree,standard,completed,71,77,69
male,group E,some college,standard,none,54,57,50
male,group E,some college,standard,none,73,68,72
female,group A,some high school,free/reduced,none,39,60,56
male,group C,high school,standard,none,52,48,40
female,group B,some college,standard,none,60,67,66
male,group A,associate's degree,standard,none,62,56,62
female,group B,master's degree,standard,none,86,95,95
male,group D,master's degree,standard,none,82,80,69
female,group B,associate's degree,standard,completed,91,89,90
male,group C,master's degree,standard,completed,92,88,84
female,group B,some high school,standard,none,83,82,81
female,group E,some college,standard,none,58,72,69
female,group B,associate's degree,standard,none,56,63,62
male,group B,some college,standard,completed,61,63,67
male,group E,associate's degree,free/reduced,completed,99,98,95
female,group C,associate's degree,free/reduced,none,59,69,70
female,group C,some high school,free/reduced,none,65,87,78
male,group D,some college,standard,completed,60,61,58
female,group C,some high school,standard,completed,64,75,76
male,group A,associate's degree,standard,none,54,53,45
female,group C,high school,standard,completed,61,64,73
male,group C,associate's degree,free/reduced,none,56,58,54
female,group D,bachelor's degree,free/reduced,none,78,90,93
male,group B,high school,free/reduced,none,64,50,49
male,group B,some high school,standard,completed,64,55,58
male,group B,associate's degree,standard,completed,66,62,60
male,group C,high school,standard,completed,69,59,54
female,group C,some high school,free/reduced,none,0,17,11
male,group C,associate's degree,standard,completed,80,74,76
male,group E,some high school,standard,completed,68,51,59
female,group A,high school,free/reduced,completed,77,90,84
male,group B,some college,free/reduced,none,53,53,49
female,group E,bachelor's degree,free/reduced,completed,93,100,100
female,group E,associate's degree,standard,none,54,48,54
male,group E,associate's degree,free/reduced,completed,90,73,78
male,group A,associate's degree,free/reduced,none,61,60,54
female,group D,associate's degree,standard,none,63,71,69
female,group B,associate's degree,standard,none,70,74,84
male,group D,high school,free/reduced,none,70,71,71
female,group D,high school,standard,none,50,65,64
female,group B,high school,free/reduced,completed,44,53,59
female,group E,high school,standard,none,72,81,70
male,group A,some high school,free/reduced,none,64,62,54
female,group A,associate's degree,free/reduced,none,40,50,46
male,group C,master's degree,standard,completed,94,86,88
male,group C,high school,free/reduced,completed,51,51,48
female,group B,associate's degree,standard,completed,49,67,71
male,group A,some college,standard,completed,62,49,53
female,group D,some high school,standard,none,81,97,95
female,group D,some college,standard,completed,75,79,85
